unique_number,id_no,name_en,short_description_en,justification_en,date_inscribed,secondary_dates,danger_list,longitude,latitude,area_hectares,criteria_txt,category,states_name_en,region_en,iso_code,udnp_code,transboundary
2209,22,Ancient City of Bosra,"<p>Bosra, once the capital of the Roman province of Arabia, was an important stopover on the ancient caravan route to Mecca. A magnificent 2nd-century Roman theatre, early Christian ruins and several mosques are found within its great walls.</p>",,1980,,,36.48167,32.51806,116.2,(i)(iii)(vi),Cultural,Syrian Arab Republic,Arab States,sy,syr,0
2256,23,Site of Palmyra,"<p>An oasis in the Syrian desert, north-east of Damascus, Palmyra contains the monumental ruins of a great city that was one of the most important cultural centres of the ancient world. From the 1st to the 2nd century, the art and architecture of Palmyra, standing at the crossroads of several civilizations, married Graeco-Roman techniques with local traditions and Persian influences.</p>",,1980,,,38.26667,34.55417,1640,(i)(ii)(iv),Cultural,Syrian Arab Republic,Arab States,sy,syr,0
1761,1348,Ancient Villages of Northern Syria,"<p>Some 40 villages grouped in eight parks situated in north-western Syria provide remarkable testimony to rural life in late Antiquity and during the Byzantine period. Abandoned in the 8th to 10th centuries, the villages, which date from the 1st to 7th centuries, feature a remarkably well preserved landscape and the architectural remains of dwellings, pagan temples, churches, cisterns, bathhouses etc. The relict cultural landscape of the villages also constitutes an important illustration of the transition from the ancient pagan world of the Roman Empire to Byzantine Christianity. Vestiges illustrating hydraulic techniques, protective walls and Roman agricultural plot plans furthermore offer testimony to the inhabitants' mastery of agricultural production.</p>",,2011,,Y 2013,36.84416667,36.33416667,12290,(iii)(iv)(v),Cultural,Syrian Arab Republic,Arab States,sy,syr,0
41,37,Archaeological Site of Carthage,"<p>Carthage was founded in the 9th century B.C. on the Gulf of Tunis. From the 6th century onwards, it developed into a great trading empire covering much of the Mediterranean and was home to a brilliant civilization. In the course of the long Punic wars, Carthage occupied territories belonging to Rome, which finally destroyed its rival in 146 B.C. A second &ndash; Roman &ndash; Carthage was then established on the ruins of the first.</p>",,1979,,,10.32333,36.85278,616.02,(ii)(iii)(vi),Cultural,Tunisia,Arab States,tn,tun,0
1741,38,Amphitheatre of El Jem,"<p>The impressive ruins of the largest colosseum in North Africa, a huge amphitheatre which could hold up to 35,000 spectators, are found in the small village of El Jem. This 3rd-century monument illustrates the grandeur and extent of Imperial Rome.</p>",,1979,,,10.70694,35.29639,1.37,(iv)(vi),Cultural,Tunisia,Arab States,tn,tun,0
378,332,Punic Town of Kerkuane and its Necropolis,<p>This Phoenician city was probably abandoned during the First Punic War (c. 250 B.C.) and as a result was not rebuilt by the Romans. The remains constitute the only example of a Phoenicio-Punic city to have survived. The houses were built to a standard plan in accordance with a sophisticated notion of town planning.</p>,,1985,1986,,11.09917,36.94639,0,(iii),Cultural,Tunisia,Arab States,tn,tun,0
938,794,Dougga / Thugga,"<p>Before the Roman annexation of Numidia, the town of Thugga, built on an elevated site overlooking a fertile plain, was the capital of an important Libyco-Punic state. It flourished under Roman and Byzantine rule, but declined in the Islamic period. The impressive ruins that are visible today give some idea of the resources of a small Roman town on the fringes of the empire.</p>","<p>The Committee decided to inscribe this property on the basis of criteria (ii) and (iii), considering that Dougga is the best preserved Roman small town in North Africa and as such provides an exceptional picture of everyday life in antiquity.</p>",1997,,,9.22028,36.42361,70,(ii)(iii),Cultural,Tunisia,Arab States,tn,tun,0
2255,356,Historic Areas of Istanbul,"<p>With its strategic location on the Bosphorus peninsula between the Balkans and Anatolia, the Black Sea and the Mediterranean, Istanbul has been associated with major political, religious and artistic events for more than 2,000 years. Its masterpieces include the ancient Hippodrome of Constantine, the 6th-century Hagia Sophia and the 16th-century Süleymaniye Mosque, all now under threat from population pressure, industrial pollution and uncontrolled urbanization.</p>",,1985,,,28.97993,41.00847,765.5,(i)(ii)(iii)(iv),Cultural,Turkey,Europe and North America,tr,tur,0
520,448,Nemrut Da?,"<p>The mausoleum of Antiochus I (69&ndash;34 B.C.), who reigned over Commagene, a kingdom founded north of Syria and the Euphrates after the breakup of Alexander's empire, is one of the most ambitious constructions of the Hellenistic period. The syncretism of its pantheon, and the lineage of its kings, which can be traced back through two sets of legends, Greek and Persian, is evidence of the dual origin of this kingdom's culture.</p>",,1987,,,38.76369,38.03661,11,(i)(iii)(iv),Cultural,Turkey,Europe and North America,tr,tur,0
563,484,Xanthos-Letoon,"<p>This site, which was the capital of Lycia, illustrates the blending of Lycian traditions and Hellenic influence, especially in its funerary art. The epigraphic inscriptions are crucial for our understanding of the history of the Lycian people and their Indo-European language.</p>",,1988,,,29.32028,36.335,126.4,(ii)(iii),Cultural,Turkey,Europe and North America,tr,tur,0
1000,849,Archaeological Site of Troy,"<p>Troy, with its 4,000 years of history, is one of the most famous archaeological sites in the world. The first excavations at the site were undertaken by the famous archaeologist Heinrich Schliemann in 1870. In scientific terms, its extensive remains are the most significant demonstration of the first contact between the civilizations of Anatolia and the Mediterranean world. Moreover, the siege of Troy by Spartan and Achaean warriors from Greece in the 13th or 12th century B.C., immortalized by Homer in the Iliad, has inspired great creative artists throughout the world ever since.</p>","<p>The archaeological site of Troy is of immense significance in the understanding of the development of European civilization at a critical stage in its early development. It is, moreover, of exceptional cultural importance because of the profound influence of Homer&rsquo;s Iliad on the creative arts over more than two millennia.</p>",1998,,,26.239,39.95644,158,(ii)(iii)(vi),Cultural,Turkey,Europe and North America,tr,tur,0
2014,1018,Ephesus,"<p>Located within what was once the estuary of the River Kaystros, Ephesus comprises successive Hellenistic and Roman settlements founded on new locations, which followed the coastline as it retreated westward. Excavations have revealed grand monuments of the Roman Imperial period including the Library of Celsus and the Great Theatre. Little remains of the famous Temple of Artemis, one of the “Seven Wonders of the World,” which drew pilgrims from all around the Mediterranean. Since the 5<sup>th</sup> century, the House of the Virgin Mary, a domed cruciform chapel seven kilometres from Ephesus, became a major place of Christian pilgrimage. The Ancient City of Ephesus is an outstanding example of a Roman port city, with sea channel and harbour basin.</p>",,2015,,,27.35944444,37.92916667,662.62,(iii)(iv)(vi),Cultural,Turkey,Europe and North America,tr,tur,0
2001,1457,Pergamon and its Multi-Layered Cultural Landscape,"<p>This site rises high above the Bakirçay Plain in Turkey’s Aegean region. The acropolis of Pergamon was the capital of the Hellenistic Attalid dynasty, a major centre of learning in the ancient world. Monumental temples, theatres, stoa or porticoes, gymnasium, altar and library were set into the sloping terrain surrounded by an extensive city wall. The rock-cut Kybele Sanctuary lies to the north-west on another hill visually linked to the acropolis. Later the city became capital of the Roman province of Asia known for its Asclepieion healing centre. The acropolis crowns a landscape containing burial mounds and remains of the Roman, Byzantine and Ottoman empires in and around the modern town of Bergama on the lower slopes.</p>",,2014,,,27.18,39.12583333,332.5,(i)(ii)(iii)(iv)(vi),Cultural,Turkey,Europe and North America,tr,tur,0
2049,1488,Diyarbak?r Fortress and Hevsel Gardens Cultural Landscape,"<p>Located on an escarpment of the Upper Tigris River Basin that is part of the so-called Fertile Crescent, the fortified city of Diyarbak?r and the landscape around has been an important centre since the Hellenistic period, through the Roman, Sassanid, Byzantine, Islamic and Ottoman times to the present. The site encompasses the Inner castle, known as ?çkale and including the Amida Mound, and the 5.8 km-long city walls of Diyarbak?r with their numerous towers, gates, buttresses, and 63 inscriptions. The site also includes the Hevsel Gardens, a green link between the city and the Tigris that supplied the city with food and water, the Anzele water source and the Ten-Eyed Bridge.</p>",,2015,,,40.23930833,37.9031,521.23,(iv),Cultural,Turkey,Europe and North America,tr,tur,0
2170,1519,Aphrodisias,"<p>Located in southwestern Turkey, in the upper valley of the Morsynus River, the site consists of two components: the archaeological site of Aphrodisias and the marble quarries northeast of the city. The temple of Aphrodite dates from the 3<sup>rd</sup><span> </span>century BCE and the city was built one century later. The wealth of Aphrodisias came from the marble quarries and the art produced by its sculptors. The city streets are arranged around several large civic structures, which include temples, a theatre, an agora, and two bath complexes.</p>",,2017,,,28.72361111,37.70833333,152.25,(ii)(iii)(iv)(vi),Cultural,Turkey,Europe and North America,tr,tur,0
410,357,Göreme National Park and the Rock Sites of Cappadocia,"<p>In a spectacular landscape, entirely sculpted by erosion, the G&ouml;reme valley and its surroundings contain rock-hewn sanctuaries that provide unique evidence of Byzantine art in the post-Iconoclastic period. Dwellings, troglodyte villages and underground towns &ndash; the remains of a traditional human habitat dating back to the 4th century &ndash; can also be seen there.</p>",,1985,,,34.85,38.66667,9883.81,(i)(iii)(v)(vii),Mixed,Turkey,Europe and North America,tr,tur,0
564,485,Hierapolis-Pamukkale,"<p>Deriving from springs in a cliff almost 200 m high overlooking the plain, calcite-laden waters have created at Pamukkale (Cotton Palace) an unreal landscape, made up of mineral forests, petrified waterfalls and a series of terraced basins. At the end of the 2nd century B.C. the dynasty of the Attalids, the kings of Pergamon, established the thermal spa of Hierapolis. The ruins of the baths, temples and other Greek monuments can be seen at the site.</p>",,1988,,,29.12333,37.92389,1077,(iii)(iv)(vii),Mixed,Turkey,Europe and North America,tr,tur,0
1471,1242,Parthian Fortresses of Nisa,"<p>The Parthian Fortresses of Nisa consist of two tells of Old and New Nisa, indicating the site of one of the earliest and most important cities of the Parthian Empire, a major power from the mid 3rd century BC to the 3rd century AD. They conserve the unexcavated remains of an ancient civilization which skilfully combined its own traditional cultural elements with those of the Hellenistic and Roman west. Archaeological excavations in two parts of the site have revealed richly decorated architecture, illustrative of domestic, state and religious functions. Situated at the crossroads of important commercial and strategic axes, this powerful empire formed a barrier to Roman expansion while serving as an important communication and trading centre between east and west, north and south.</p>",,2007,,,58.19861111,37.99972222,77.905,(ii)(iii),Cultural,Turkmenistan,Asia and the Pacific,tm,tkm,0
1895,1411,Ancient City of Tauric Chersonese and its Chora,"<p>The site features the remains of a city founded by Dorian Greeks in the 5th century BC on the northern shores of the Black Sea. It encompasses six component sites with urban remains and agricultural lands divided into several hundreds of chora, rectangular plots of equal size. The plots supported vineyards whose production was exported by the city which thrived until the 15th century. The site features several public building complexes and residential neighbourhoods, as well as early Christian monuments alongside remains from Stone and Bronze Age settlements; Roman and medieval tower fortifications and water supply systems; and exceptionally well-preserved examples of vineyard planting and dividing walls. In the 3rd century AD, the site was known as the most productive wine centre of the Black Sea and remained a hub of exchange between the Greek, Roman and Byzantine Empires and populations north of the Black Sea. It is an outstanding example of democratic land organization linked to an ancient polis, reflecting the city&rsquo;s social organization.</p>
<div>&nbsp;</div>",,2013,,,33.49138889,44.61083333,259.3752,(ii)(v),Cultural,Ukraine,Europe and North America,ua,ukr,0
495,428,City of Bath,"<p>Founded by the Romans as a thermal spa, Bath became an important centre of the wool industry in the Middle Ages. In the 18th century, under George III, it developed into an elegant town with neoclassical Palladian buildings, which blend harmoniously with the Roman baths.</p>",,1987,,,-2.358611111,51.38138889,2900,(i)(ii)(iv),Cultural,United Kingdom of Great Britain and Northern Ireland,Europe and North America,gb,gbr,0
